Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
5519;21100448305;Proceedings - 2015 17th Symposium on Virtual and Augmented Reality, SVR 2015;conference and proceedings;2015;0.103;-;3;0;40;0;9;37;0.24;0;United States;;2015;"Artificial Intelligence; Automotive Engineering; Computer Networks and Communications; Control and Systems Engineering; Transportation";
5520;21100448213;Proceedings of the 13th International Symposium on Operational Research, SOR 2015;conference and proceedings;2015;0.103;-;3;0;88;0;6;86;0.07;0;Slovenia;;2015;"Aerospace Engineering; Communication; Computer Science Applications; Control and Systems Engineering; Geography, Planning and Development; Transportation";
5521;21100466843;Proceedings of the 5th International Workshop on Mobile Entity Localization and Tracking in GPS-Less Environments, MELT 2015;conference and proceedings;2015;0.103;-;1;0;10;0;1;8;0.13;0;United States;;2015;"Communication; Computer Networks and Communications";
5522;21100327729;Proc. of the 6th Int. Workshop on SAME 2013 - Workshop Defining the Research Agenda for Inf. Management and Systems Supporting Sustainable Communities with Smart Media and Automated Systems;conference and proceedings;2013;0.103;-;1;0;10;0;1;8;0;0;Finland;;2013;"E-learning; Software";
5523;29395;Revue des Etudes Grecques;journal;352039;0.103;Q4;8;0;8;0;1;8;0;0;France;E. Leroux;1969, 1973, 1977, 1979, 1981, 1984, 1992-1993, 1995-1997, 2002-2007, 2009-2011;"Classics (Q3); History (Q3); Visual Arts and Performing Arts (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4)";
5524;12071;Revue du Marche Commun et de L'Union Europeenne;journal;352616;0.103;Q4;4;0;8;0;0;7;0;0;France;Editions Techniques et Economiques;1979-1991, 1993-2012, 2015;"Geography, Planning and Development (Q4); Political Science and International Relations (Q4)";
5525;21100421962;RINA, Royal Institution of Naval Architects - Ice Class Vessels, Papers;conference and proceedings;2015;0.103;-;0;0;9;0;0;8;0;0;United Kingdom;;2015;"Automotive Engineering; Electrical and Electronic Engineering; Transportation";
5526;21100211719;Shaman;journal;12167827;0.103;Q3;2;8;8;188;0;8;0;23.5;Hungary;Molnar & Kelemen Oriental Publishers;2011-2013, 2017-ongoing;"Cultural Studies (Q3); Religious Studies (Q3); Anthropology (Q4)";
5527;5800207545;Slovenski Jezik;journal;15811271, 14082616;0.103;Q4;2;0;11;0;0;11;0;0;Slovenia;University of Kansas Department of Slavic Languages and Literatures;2015-ongoing;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5528;21100810489;Springer Tracts on Transportation and Traffic;book series;21948127, 21948119;0.103;Q4;4;44;146;951;7;58;0;21.61;Switzerland;Springer International Publishing AG;2013-ongoing;"Strategy and Management (Q4); Transportation (Q4); Urban Studies (Q4)";
5529;26553;Sri Lanka journal of social sciences;journal;2589710;0.103;Q4;2;9;13;339;1;13;0.08;37.67;Sri Lanka;National Science Foundation of Sri Lanka;1978, 1980, 1993, 2006, 2008, 2010, 2015-ongoing;Social Sciences (miscellaneous) (Q4);
5530;21100794695;Studi Micenei ed Egeo-Anatolici;journal;11266651;0.103;Q4;1;0;8;0;2;7;0.29;0;Italy;Consiglio Nazionale delle Ricerche;2015;"History (Q3); Language and Linguistics (Q3); Anthropology (Q4); Archeology (Q4); Archeology (arts and humanities) (Q4); Linguistics and Language (Q4)";
5531;300147005;Tamkang Journal of International Affairs;journal;10274979;0.103;Q4;3;13;34;46;1;33;0.03;3.54;Taiwan;Tamkang University;2005-2014, 2016-ongoing;"Business and International Management (Q4); Education (Q4); Political Science and International Relations (Q4); Strategy and Management (Q4)";
5532;7200153147;Territoire en Mouvement;journal;19544863;0.103;Q4;5;29;86;639;5;81;0.05;22.03;France;Universite des Sciences et Technologies de Lille;2006-2008, 2011-ongoing;"Geography, Planning and Development (Q4); Urban Studies (Q4)";
5533;19700172105;Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde;journal;0929600X;0.103;Q4;3;163;548;462;3;360;0.01;2.83;Netherlands;Bohn Stafleu van Loghum B.V;1993-1996, 2010-ongoing;"Health Information Management (Q4); Health Policy (Q4); Health (social science) (Q4)";
5534;5800169338;T'oung Pao;journal;15685322, 00825433;0.103;Q3;7;12;34;711;8;34;0.27;59.25;Netherlands;Brill;2007-ongoing;"Cultural Studies (Q3); History (Q3); Language and Linguistics (Q3); Literature and Literary Theory (Q3); History and Philosophy of Science (Q4); Linguistics and Language (Q4)";
5535;21100211349;TUBA-AR;journal;13018566;0.103;Q4;7;0;9;0;0;8;0;0;Turkey;Turkish Academy of Scieces;2008-2011, 2014, 2017-ongoing;"Archeology (Q4); Archeology (arts and humanities) (Q4)";
5536;21100463174;Ural-Altaic Studies;journal;20791003;0.103;Q4;3;23;7;517;0;7;0;22.48;Russian Federation;Institute of Linguistics RAS, Department of Ural-Altaic languages;2015-ongoing;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5537;21100448970;11th Workshop on Analytic Algorithmics and Combinatorics 2014, ANALCO 2014;conference and proceedings;2014;0.102;-;3;0;13;0;1;12;0.08;0;United States;;2014;"Language and Linguistics; Linguistics and Language";
5538;21100370166;15th International Conference on Intelligent Games and Simulation, GAME-ON 2014;conference and proceedings;2014;0.102;-;1;0;19;0;3;17;0.18;0;Belgium;;2014;"Artificial Intelligence; Computer Graphics and Computer-Aided Design; E-learning; Human-Computer Interaction; Software";
5539;21100456682;1st CCPS Asia-Pacific Conference on Process Safety 2013, APCPS 2013;conference and proceedings;2013;0.102;-;2;0;91;0;2;90;0;0;United States;;2013;"Engineering (miscellaneous); Geography, Planning and Development; Management, Monitoring, Policy and Law; Pollution";
5540;21100399156;2013 International Conference on Computer Graphics, Visualization, Computer Vision, and Game Technology, VisioGame 2013;conference and proceedings;2013;0.102;-;1;0;13;0;1;11;0;0;France;;2013;"Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition; E-learning; Software";
5541;21100286406;22nd International Symposium on Human Factors in Telecommunication, HFT 2013;conference and proceedings;2013;0.102;-;1;0;13;0;0;12;0;0;Germany;;2013;"E-learning; Human-Computer Interaction; Sociology and Political Science";
5542;21100429024;5th International Defense and Homeland Security Simulation Workshop, DHSS 2015;conference and proceedings;2015;0.102;-;1;0;14;0;2;12;0.17;0;Italy;;2015;"Communication; Computer Networks and Communications; Electrical and Electronic Engineering; Information Systems; Software";
5543;21100406879;African Social Studies Series;book series;15681203;0.102;Q4;7;0;11;0;0;11;0;0;Netherlands;Brill;2007, 2009-2013, 2015-ongoing;"Education (Q4); Social Sciences (miscellaneous) (Q4)";
5544;21100461427;AIChE NorCal Process Development Symposium 2014: Toward Commercialization Success;conference and proceedings;2014;0.102;-;0;0;10;0;0;9;0;0;United States;;2014;"Communication; Computer Networks and Communications; Computer Science Applications";
5545;21100433486;American Fuel and Petrochemical Manufacturers, AFPM - Reliability and Maintenance Conference 2015;conference and proceedings;2015;0.102;-;0;0;10;0;0;10;0;0;United States;;2015;"Aerospace Engineering; Communication; Computer Networks and Communications; Electrical and Electronic Engineering";
5546;21100268077;Analecta Hibernica;book series;7916167;0.102;Q4;2;0;10;0;3;9;0;0;Ireland;The Irish Manuscripts Commission Ltd.;2011-ongoing;"History (Q3); Library and Information Sciences (Q4)";
5547;31375;Appropriate Technology;trade journal;3050920;0.102;Q4;4;41;78;0;1;78;0;0;United Kingdom;Research Information Ltd.;1975-1986, 1988-ongoing;"Development (Q4); Engineering (miscellaneous) (Q4)";
5548;16100154700;Archaologische Mitteilungen aus Iran und Turan;journal;14342758;0.102;Q4;8;0;12;0;0;12;0;0;Germany;Dietrich Reimer Verlag GmbH;2002-2003, 2005-2006, 2009-2010;"Archeology (Q4); Archeology (arts and humanities) (Q4)";
5549;21100797710;ARF 2015 - 4th Asian-Australian Rotorcraft Forum;conference and proceedings;2015;0.102;-;1;0;60;0;4;59;0.07;0;United States;;2015;"Communication; Computer Networks and Communications";
5550;21100266548;Aula Orientalis;journal;2125730;0.102;Q4;1;0;12;0;0;12;0;0;Spain;Editorial AUSA;2013, 2015;"Archeology (Q4); Archeology (arts and humanities) (Q4); History (Q4); Language and Linguistics (Q4); Linguistics and Language (Q4)";
5551;16300154761;Bulletin de Correspondance Hellenique;journal;74217;0.102;Q4;6;0;89;0;2;87;0.02;0;France;De Boccard Edition Diffusion;2002-2004;"Classics (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4)";
5552;91500;Bulletin Hispanique;journal;74640;0.102;Q4;4;19;128;38;3;122;0.01;2;France;Editions Biere;1972, 2002-ongoing;"History (Q3); Literature and Literary Theory (Q3); Language and Linguistics (Q4); Linguistics and Language (Q4)";
5553;16100154719;Bulletin of the American Society of Papyrologists;journal;19386958, 00031186;0.102;Q4;8;0;13;0;3;13;0.23;0;United States;American Society of Papyrologists;2002-2011, 2014;"Archeology (Q4); Archeology (arts and humanities) (Q4); History (Q4)";
5554;5800207579;Bulletin Suisse de Linguistique Appliquee;journal;10232044;0.102;Q4;4;20;58;509;3;57;0.02;25.45;Belgium;Institut de Linguistique de l'Universite;2011-ongoing;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5555;21100450146;Cadernos de Estudos Africanos;journal;21827400, 16453794;0.102;Q4;2;14;15;419;1;13;0.08;29.93;Portugal;Center for International Studies (CIS-IUL) of the Lisbon University Institute (ISCTE);2015-ongoing;"Arts and Humanities (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";
5556;5800207621;Cahiers Ferdinand de Saussure;journal;0068516X;0.102;Q4;2;0;12;0;0;12;0;0;Switzerland;Librairie Droz S.A.;2013;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5557;21100407278;China Studies;book series;15701344;0.102;Q4;4;0;23;0;12;23;1;0;Netherlands;Brill;2007-2008, 2010-2013, 2017-ongoing;"History (Q3); Social Sciences (miscellaneous) (Q4)";
5558;5800227794;Cithara;journal;97527;0.102;Q4;3;3;13;179;0;13;0;59.67;United States;Saint Bonaventure University;2002-ongoing;"Literature and Literary Theory (Q3); Religious Studies (Q3); Cultural Studies (Q4); History (Q4)";
5559;21100298601;Computer, Intelligent Computing and Education Technology - Selected Peer Reviewed Papers From 2014 International Conference on Computer, Intelligent Computing and Education Technology, CICET 2014;conference and proceedings;2014;0.102;-;2;0;324;0;5;318;0.02;0;Netherlands;;2014;"Artificial Intelligence; Computer Networks and Communications; Education";
5560;19700170250;Constructions and Frames;journal;18761933;0.102;Q4;8;15;34;532;6;34;0.19;35.47;Netherlands;John Benjamins Publishing Company;2009, 2011-ongoing;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5561;21100405527;Control Engineering and Information Systems - Proceedings of the International Conference on Control Engineering and Information System, ICCEIS 2014;conference and proceedings;2015;0.102;-;2;0;203;0;3;201;0.01;0;Netherlands;;2015;"Communication; Computer Networks and Communications";
5562;6500153168;Critical Survey;journal;17522293, 00111570;0.102;Q4;4;33;59;552;14;53;0.06;16.73;United Kingdom;Berghahn Books;2012-ongoing;"Literature and Literary Theory (Q3); Cultural Studies (Q4)";
5563;21100228084;Cuadernos de Vivienda y Urbanismo;journal;20272103, 21450226;0.102;Q4;3;12;111;488;4;106;0.07;40.67;Colombia;Pontificia Universidad Javeriana;2012-ongoing;"Geography, Planning and Development (Q4); Urban Studies (Q4)";
5564;28038;Czasopismo Geographiczne;journal;459453;0.102;Q4;7;11;10;208;1;10;0.2;18.91;Poland;Czasopismo Geograficzne;1978-2013, 2015-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4)";
5565;21100456152;DFX 2013: Proceedings of the 24th Symposium Design for X;conference and proceedings;2013;0.102;-;3;0;19;0;1;18;0;0;Germany;;2013;"Ocean Engineering; Transportation";
5566;21100375892;Doctoral Student Consortium (DSC) - Proceedings of the 22nd International Conference on Computers in Education, ICCE 2014;conference and proceedings;2014;0.102;-;1;0;13;0;0;11;0;0;Taiwan;;2014;"Computer Science Applications; Education; E-learning";
5567;17600155217;Document Numerique;journal;19631014, 12795127;0.102;Q4;6;14;53;465;7;45;0.18;33.21;France;Lavoisier;2001-2004, 2006-ongoing;Library and Information Sciences (Q4);
5568;5600153212;Durkheimian Studies/Etudes durkheimiennes;journal;17522307, 1362024X;0.102;Q4;4;0;15;0;2;14;0.1;0;United Kingdom;British Centre for Durkheimian Studies;2011-ongoing;"Religious Studies (Q3); Anthropology (Q4); Philosophy (Q4); Sociology and Political Science (Q4)";
5569;5600156482;Dutch Crossing;journal;3096564;0.102;Q4;3;24;54;812;3;46;0.08;33.83;United Kingdom;Maney Publishing;2011-ongoing;"Arts and Humanities (miscellaneous) (Q4); Cultural Studies (Q4); Sociology and Political Science (Q4)";
5570;4700152768;EContent;trade journal;15252531;0.102;Q4;8;39;215;0;3;215;0.01;0;United States;Online Inc;1999-ongoing;"Information Systems (Q4); Library and Information Sciences (Q4)";
5571;21100348532;Education 2014 - Core Programming Area at the 2014 AIChE Spring Meeting and 10th Global Congress on Process Safety;conference and proceedings;2014;0.102;-;0;0;11;0;0;10;0;0;United States;;2014;"Chemical Engineering (miscellaneous); Education; Engineering (miscellaneous)";
5572;5100152201;Education in Chemistry;journal;131350;0.102;Q4;5;46;173;89;5;75;0.02;1.93;United Kingdom;Royal Society of Chemistry;1974-1975, 1978-1979, 1984-1986, 1989, 2006-ongoing;"Chemistry (miscellaneous) (Q4); Education (Q4)";
5573;21100427908;Empirical Research in Religion and Human Rights;book series;1877881X;0.102;Q4;3;12;11;600;12;10;0;50;Netherlands;Brill;2010, 2012-2013, 2016-ongoing;"History (Q3); Religious Studies (Q3); Sociology and Political Science (Q4)";
5574;15743;Employee Relations Law Journal;journal;988898;0.102;Q4;5;0;55;0;4;51;0;0;United States;Aspen Publishers;1978-2013, 2015;"Law (Q4); Organizational Behavior and Human Resource Management (Q4)";
5575;21100305345;Encyclopaideia;journal;18258670, 1590492X;0.102;Q4;2;24;66;684;6;59;0.15;28.5;Italy;Bononia University Press;2013-ongoing;"Education (Q4); E-learning (Q4)";
5576;21100198239;Enfances, Familles, Generations;journal;17086310;0.102;Q4;5;24;64;1300;5;64;0.09;54.17;France;Erudit Publishers;2011-ongoing;"Anthropology (Q4); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4)";
5577;21100454610;Environmental Division 2014 - Core Programming Area at the 2014 AIChE Annual Meeting;conference and proceedings;2014;0.102;-;1;0;48;0;1;47;0.02;0;United States;;2014;"Chemical Engineering (miscellaneous); Law";
5578;21100449115;Environmental Science and Information Application Technology - Proceedings of the 2014 5th International Conference on Environmental Science and Information Application Technology, ESIAT 2014;conference and proceedings;2015;0.102;-;2;0;56;0;6;54;0.11;0;United Kingdom;;2015;"Information Systems; Safety, Risk, Reliability and Quality; Transportation";
5579;16400154773;Eurasia Antiqua;book series;9490434;0.102;Q4;6;0;16;0;0;15;0;0;Germany;Verlag Philipp von Zabern GmbH;2003-2007;"Archeology (Q4); Archeology (arts and humanities) (Q4)";
5580;5800207688;Finnisch-Ugrische Forschungen;journal;3551253;0.102;Q4;2;5;9;357;7;9;0.78;71.4;Finland;Suomalais-ugrilainen Seura;2014-ongoing;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5581;28170;Florida Geographer;journal;7390041;0.102;Q4;3;9;16;213;0;14;0;23.67;United States;Florida State University;1983-1992, 1996-ongoing;"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)";
5582;21100827151;Foundation Review;journal;19445660, 19445679;0.102;Q4;7;0;21;0;5;19;0;0;United States;Dorothy A. Johnson Center for Philanthropy, Grand Valley State University;2009-2013, 2017-ongoing;"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";
5583;19700182806;French Colonial History;journal;15393402;0.102;Q4;4;5;15;150;1;12;0.17;30;United States;Michigan State University Press;2010-ongoing;"History (Q4); Sociology and Political Science (Q4)";
5584;14220;Grassroots Development;trade journal;7336608;0.102;Q4;4;0;9;0;0;9;0;0;United States;Inter-American Foundation;1986, 1988-1999, 2002-2013;"Development (Q4); Geography, Planning and Development (Q4)";
5585;21100833038;Iconographica;journal;17201764;0.102;Q4;1;10;9;769;2;9;0.22;76.9;Italy;SISMEL Edizioni del Galluzzo;2015-ongoing;"Visual Arts and Performing Arts (Q3); Cultural Studies (Q4)";
5586;6200171093;Images;journal;18717993;0.102;Q4;4;10;12;544;0;10;0;54.4;Netherlands;Brill;2007-2012, 2015-ongoing;"History (Q3); Religious Studies (Q3); Visual Arts and Performing Arts (Q3); Cultural Studies (Q4)";
